"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","annual_avg_estabs","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_chg","oty_annual_avg_estabs_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"US000","0","10","10","0","2025","A","",12240455,155685781,12255884877405,2169033784928,36315023447,1514,78722,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",183085,1.5,695340,0.4,540944336296,4.6,48322018714,2.3,1187489169,3.4,60,4.1,3137,4.2
"US000","1","10","11","0","2025","A","",60825,2913774,306919208186,0,0,2026,105334,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-417,-0.7,-87433,-2.9,986486809,0.3,0,0.0,0,0.0,66,3.4,3397,3.3
"US000","1","101","12","0","2025","A","",164,52217,5430011347,0,0,2000,103989,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.2,-1191,-2.2,5933532,0.1,0,0.0,0,0.0,47,2.4,2429,2.4
"US000","1","1011","13","0","2025","A","",74,3518,364484686,0,0,1992,103593,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-1.3,-458,-11.5,-14931218,-3.9,0,0.0,0,0.0,157,8.6,8176,8.6
"US000","1","1012","13","0","2025","A","",4,26,4323011,0,0,3239,168429,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",0,0.0,-1,-3.7,-11711,-0.3,0,0.0,0,0.0,132,4.2,6887,4.3
"US000","1","1013","13","0","2025","A","",86,48673,5061203650,0,0,2000,103983,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",3,3.6,-731,-1.5,20876461,0.4,0,0.0,0,0.0,38,1.9,1961,1.9
"US000","1","102","12","0","2025","A","",60661,2861557,301489196839,0,0,2026,105358,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-419,-0.7,-86243,-2.9,980553277,0.3,0,0.0,0,0.0,66,3.4,3415,3.3
"US000","1","1021","13","0","2025","A","",30550,658475,49144467363,0,0,1435,74634,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-246,-0.8,-11003,-1.6,1049824042,2.2,0,0.0,0,0.0,53,3.8,2795,3.9
"US000","1","1022","13","0","2025","A","",152,6362,654519785,0,0,1978,102874,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",2,1.3,-312,-4.7,-3064678,-0.5,0,0.0,0,0.0,83,4.4,4347,4.4
"US000","1","1023","13","0","2025","A","",827,12493,1972738263,0,0,3037,157903,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-2,-0.2,-675,-5.1,-12547852,-0.6,0,0.0,0,0.0,138,4.8,7142,4.7
"US000","1","1024","13","0","2025","A","",1541,71125,7248148946,0,0,1960,101908,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",13,0.9,-1640,-2.3,-140311632,-1.9,0,0.0,0,0.0,7,0.4,369,0.4
"US000","1","1025","13","0","2025","A","",1486,437702,48467718878,0,0,2129,110732,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",21,1.4,-18850,-4.1,-75519036,-0.2,0,0.0,0,0.0,84,4.1,4406,4.1
"US000","1","1026","13","0","2025","A","",1419,46565,2986037608,0,0,1233,64126,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-11,-0.8,-2173,-4.5,-86010756,-2.8,0,0.0,0,0.0,21,1.7,1094,1.7
"US000","1","1027","13","0","2025","A","",162,4284,322427651,0,0,1447,75257,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-4,-2.4,-718,-14.4,-27701830,-7.9,0,0.0,0,0.0,101,7.5,5263,7.5
"US000","1","1028","13","0","2025","A","",24521,1624546,190692771409,0,0,2257,117382,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-193,-0.8,-50872,-3.0,275849501,0.1,0,0.0,0,0.0,71,3.2,3729,3.3
"US000","1","1029","13","0","2025","A","",3,4,366936,0,0,1764,91734,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",1,50.0,1,33.3,35518,10.7,0,0.0,0,0.0,-626,-26.2,-32548,-26.2
"US000","1","11","14","0","2025","A","",74,3518,364484686,0,0,1992,103593,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-1.3,-458,-11.5,-14931218,-3.9,0,0.0,0,0.0,157,8.6,8176,8.6
"US000","1","111","15","0","2025","A","",1,2,453602,0,0,3610,187697,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-50.0,-1,-33.3,-99450,-18.0,0,0.0,0,0.0,251,7.5,13049,7.5
"US000","1","1111","16","0","2025","A","",1,2,453602,0,0,3610,187697,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-50.0,-1,-33.3,-99450,-18.0,0,0.0,0,0.0,251,7.5,13049,7.5
"US000","1","11111","17","0","2025","A","",1,2,453602,0,0,3610,187697,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-50.0,-1,-33.3,-99450,-18.0,0,0.0,0,0.0,251,7.5,13049,7.5
"US000","1","111110","18","0","2025","A","",1,2,453602,0,0,3610,187697,"",1.00,1.00,1.00,0.00,0.00,1.00,1.00,"",-1,-50.0,-1,-33.3,-99450,-18.0,0,0.0,0,0.0,251,7.5,13049,7.5
