Industry,TariffRate_2018,TariffRate_2019,ImportShare,DirectExposure_2018,DirectExposure_2019,TotalExposure_2018,TotalExposure_2019,IndirectExposure_2018,IndirectExposure_2019
Ind_1,0.00678013588102283,0.05806025862693786,0.6666666666666666,0.004520090587348553,0.03870683908462524,5.827523782933999,13.13196303406751,5.82300369234665,13.093256194982885
Ind_10,2.165700932621506e-5,0.00158570437375205,0.6666666666666666,1.4438006217476705e-5,0.0010571362491680332,5.82296365035424,13.095284398577714,5.822949212348023,13.094227262328547
Ind_11,0.02828138764467787,0.00603292772893773,0.6666666666666666,0.018854258429785248,0.0040219518192918195,5.842176201673721,13.098534158855571,5.823321943243935,13.09451220703628
Ind_12,0.00749933239422957,0,0.6666666666666666,0.00499955492948638,0,5.827265551790549,13.093204261426662,5.822265996861063,13.093204261426662
Ind_13,8.469256621621505e-4,0.02949255560051734,0.6666666666666666,5.646171081081003e-4,0.019661703733678225,5.823046132478069,13.114333881795968,5.822481515369961,13.09467217806229
Ind_14,0.00338653479036287,0.04802714683339388,0.6666666666666666,0.002257689860241913,0.03201809788892925,5.824782083337794,13.123152595612087,5.822524393477552,13.091134497723157
Ind_15,0.00161331494465862,0.00697709053508318,0.6666666666666666,0.0010755432964390799,0.004651393690055453,5.824173728414049,13.098191736083905,5.82309818511761,13.09354034239385
Ind_16,0.00947815587648823,0.08214968550651516,0.6666666666666666,0.006318770584325486,0.05476645700434344,5.829634595332431,13.148071706226762,5.823315824748105,13.09330524922242
Ind_17,0.00629364296044626,9.873058593278332e-4,0.6666666666666666,0.00419576197363084,6.582039062185555e-4,5.826846616731665,13.093814546984184,5.822650854758034,13.093156343077966
Ind_18,0.00138157556879379,0,0.6666666666666666,9.210503791958599e-4,0,5.82349985662479,13.092143978842518,5.822578806245594,13.092143978842518
Ind_19,0.00554705845353179,1.2456313581265497e-4,0.6666666666666666,0.003698038969021193,8.304209054176997e-5,5.827600797015784,13.094408506751545,5.8239027580467635,13.094325464661004
Ind_2,5.950545370951547e-4,0.05032596094594619,0.6666666666666666,3.9670302473010315e-4,0.03355064063063079,5.824104934527557,13.126019625559874,5.823708231502827,13.092468984929242
Ind_20,0.0066160007368427,0.02143130863103091,0.6666666666666666,0.004410667157895133,0.01428753908735394,5.826986704688646,13.109558737847363,5.822576037530751,13.09527119876001
Ind_21,0.01574315891564334,0.02460828855898642,0.6666666666666666,0.010495439277095559,0.016405525705990943,5.833530155204887,13.111017745022982,5.8230347159277915,13.094612219316991
Ind_22,0.00185065530929958,0.00840678983336421,0.6666666666666666,0.00123377020619972,0.00560452655557614,5.824434164597224,13.100337659612386,5.823200394391025,13.09473313305681
Ind_23,0.01632113576807302,8.240869222848664e-4,0.6666666666666666,0.010880757178715346,5.493912815232443e-4,5.8340833851669025,13.09447760052617,5.823202627988187,13.093928209244647
Ind_24,0.00428166831435179,0.02913320345855483,0.6666666666666666,0.0028544455429011933,0.019422135639036553,5.8259418126668,13.113930490031352,5.8230873671238985,13.094508354392316
Ind_25,0.00106511370333824,0.00299391685415996,0.6666666666666666,7.100758022254933e-4,0.001995944569439973,5.824041617460655,13.095473624367392,5.82333154165843,13.093477679797951
Ind_26,0.0066160007368427,1.023992056164155e-4,0.6666666666666666,0.004410667157895133,6.826613707761033e-5,5.8264387044448895,13.093376759157902,5.822028037286994,13.093308493020825
Ind_27,0.01015153945792311,0.02243527725528619,0.6666666666666666,0.00676769297194874,0.014956851503524127,5.830089045612349,13.108871878447603,5.8233213526403995,13.09391502694408
Ind_28,0.02059055777596388,0.0537497749085819,0.6666666666666666,0.013727038517309251,0.03583318327238793,5.836832999643697,13.129517490710468,5.823105961126387,13.09368430743808
Ind_29,3.98287459522284e-4,0.02460828855898642,0.6666666666666666,2.6552497301485597e-4,0.016405525705990943,5.8233256578465,13.111668479088912,5.823060132873485,13.095262953382921
Ind_3,0.01086497047120517,0.06073172949254513,0.6666666666666666,0.0072433136474701135,0.04048781966169675,5.829129235652574,13.13355279728348,5.821885922005103,13.093064977621783
Ind_30,0.01190434682266173,0,0.6666666666666666,0.007936231215107819,0,5.831511674162383,13.094043368154475,5.823575442947275,13.094043368154475
